DATE,CPMNACNSAB1GQUK
1975-01-01,24785.0
1975-04-01,26323.0
1975-07-01,27928.0
1975-10-01,30238.0
1976-01-01,30153.0
1976-04-01,30954.0
1976-07-01,32710.0
1976-10-01,35633.0
1977-01-01,34845.0
1977-04-01,36588.0
1977-07-01,38299.0
1977-10-01,41083.0
1978-01-01,40704.0
1978-04-01,42595.0
1978-07-01,44574.0
1978-10-01,47289.0
1979-01-01,46344.0
1979-04-01,50000.0
1979-07-01,53520.0
1979-10-01,57430.0
1980-01-01,57154.0
1980-04-01,58794.0
1980-07-01,61970.0
1980-10-01,65180.0
1981-01-01,63697.0
1981-04-01,65268.0
1981-07-01,67943.0
1981-10-01,72176.0
1982-01-01,70779.0
1982-04-01,71756.0
1982-07-01,74192.0
1982-10-01,78085.0
1983-01-01,77655.0
1983-04-01,77774.0
1983-07-01,81695.0
1983-10-01,85876.0
1984-01-01,83893.0
1984-04-01,83063.0
1984-07-01,86844.0
1984-10-01,93148.0
1985-01-01,91443.0
1985-04-01,92009.0
1985-07-01,96331.0
1985-10-01,101469.0
1986-01-01,99829.0
1986-04-01,99032.0
1986-07-01,102377.0
1986-10-01,109073.0
1987-01-01,107732.0
1987-04-01,108856.0
1987-07-01,116802.0
1987-10-01,122575.0
1988-01-01,121601.0
1988-04-01,123357.0
1988-07-01,129557.0
1988-10-01,137155.0
1989-01-01,135178.0
1989-04-01,136777.0
1989-07-01,143601.0
1989-10-01,150956.0
1990-01-01,147545.0
1990-04-01,150696.0
1990-07-01,156412.0
1990-10-01,161022.0
1991-01-01,155894.0
1991-04-01,158327.0
1991-07-01,164049.0
1991-10-01,169697.0
1992-01-01,165029.0
1992-04-01,164124.0
1992-07-01,168118.0
1992-10-01,174901.0
1993-01-01,170799.0
1993-04-01,171919.0
1993-07-01,178491.0
1993-10-01,186525.0
1994-01-01,181910.0
1994-04-01,181253.0
1994-07-01,187495.0
1994-10-01,194537.0
1995-01-01,207213.0
1995-04-01,207345.0
1995-07-01,213422.0
1995-10-01,222201.0
1996-01-01,220555.0
1996-04-01,222577.0
1996-07-01,227780.0
1996-10-01,236353.0
1997-01-01,233708.0
1997-04-01,234572.0
1997-07-01,241610.0
1997-10-01,241860.0
1998-01-01,244410.0
1998-04-01,244570.0
1998-07-01,250229.0
1998-10-01,258038.0
1999-01-01,257071.0
1999-04-01,253932.0
1999-07-01,261231.0
1999-10-01,267518.0
2000-01-01,270675.0
2000-04-01,270524.0
2000-07-01,275279.0
2000-10-01,279422.0
2001-01-01,282141.0
2001-04-01,280713.0
2001-07-01,286311.0
2001-10-01,289210.0
2002-01-01,290891.0
2002-04-01,292557.0
2002-07-01,299387.0
2002-10-01,304836.0
2003-01-01,310126.0
2003-04-01,307677.0
2003-07-01,315863.0
2003-10-01,322522.0
2004-01-01,324763.0
2004-04-01,324300.0
2004-07-01,330910.0
2004-10-01,337486.0
2005-01-01,341932.0
2005-04-01,344037.0
2005-07-01,348400.0
2005-10-01,358669.0
2006-01-01,366508.0
2006-04-01,359256.0
2006-07-01,369794.0
2006-10-01,375161.0
2007-01-01,383729.0
2007-04-01,376957.0
2007-07-01,388380.0
2007-10-01,397019.0
2008-01-01,404144.0
2008-04-01,394617.0
2008-07-01,395006.0
2008-10-01,395492.0
2009-01-01,387707.0
2009-04-01,379400.0
2009-07-01,388668.0
2009-10-01,392738.0
2010-01-01,398648.0
2010-04-01,396801.0
2010-07-01,401555.0
2010-10-01,409023.0
2011-01-01,417202.0
2011-04-01,407837.0
2011-07-01,412074.0
2011-10-01,423028.0
2012-01-01,427202.0
2012-04-01,418926.0
2012-07-01,427925.0
2012-10-01,437717.0
2013-01-01,439582.0
2013-04-01,438760.0
2013-07-01,444285.0
2013-10-01,457709.0
2014-01-01,465014.0
2014-04-01,461383.0
2014-07-01,463493.0
2014-10-01,473118.0
2015-01-01,475839.0
2015-04-01,477094.0
2015-07-01,477690.0
2015-10-01,489018.0
2016-01-01,492993.0
2016-04-01,496451.0
2016-07-01,494296.0
2016-10-01,510972.0
2017-01-01,514962.0
2017-04-01,510912.0
2017-07-01,513830.0
2017-10-01,529053.0
2018-01-01,528688.0
2018-04-01,530063.0
2018-07-01,534823.0
2018-10-01,548218.0
2019-01-01,550646.0
2019-04-01,545539.0
2019-07-01,552691.0
2019-10-01,568911.0
2020-01-01,554817.0
2020-04-01,470856.0
2020-07-01,525808.0
